date,cash,stock_value,equity,drawdown,stock_weight,positions,risk_off_remaining_days
2025-07-11,40881.39448480029,2954604.0,2995485.3944848003,-0.022528455026903704,0.9863523305571544,2,0
2025-07-14,40881.39448480029,2958330.0,2999211.3944848003,-0.021312605674649987,0.9863692854195018,2,0
2025-07-15,40881.39448480029,3444957.0,3485838.3944848003,0.0,0.9882721486602817,2,0
2025-07-16,40881.39448480029,3529641.0,3570522.3944848003,0.0,0.9885503044182141,2,0
2025-07-17,40881.39448480029,3742098.0,3782979.3944848003,0.0,0.9891933340836059,2,0
2025-07-18,40881.39448480029,3699798.0,3740679.3944848003,-0.01118166280833277,0.9890711311573306,2,0
2025-07-21,40881.39448480029,3617148.0,3658029.3944848003,-0.033029521699791564,0.9888242028490977,2,0
2025-07-22,40881.39448480029,3607614.0,3648495.3944848003,-0.03554975747318745,0.9887949990161429,2,0
2025-07-23,40881.39448480029,3586083.0,3626964.3944848003,-0.04124130314520191,0.9887284819925541,2,0
2025-07-24,40881.39448480029,3517623.0,3558504.3944848003,-0.05933815032861711,0.9885116358017821,2,0
2025-07-25,74792.73999940022,3480129.0,3554921.7399994005,-0.06028519605945637,0.9789607914126928,2,0
2025-07-28,74792.73999940022,3541896.0,3616688.7399994005,-0.043957589282097254,0.9793201059377278,2,0
2025-07-29,74792.73999940022,3748548.0,3823340.7399994005,0.0,0.980437856553844,2,0
2025-07-30,74792.73999940022,3720903.0,3795695.7399994005,-0.0072305875620189974,0.980295380577735,2,0
2025-07-31,74792.73999940022,3672870.0,3747662.7399994005,-0.019793684410145396,0.9800428306418489,2,0
2025-08-01,74792.73999940022,3594705.0,3669497.7399994005,-0.04023784707193634,0.979617717382921,2,0
2025-08-04,74792.73999940022,3612462.0,3687254.7399994005,-0.03559347943443336,0.9797158739297159,2,0
2025-08-05,74792.73999940022,3589251.0,3664043.7399994005,-0.04166434823175735,0.979587377960883,2,0
2025-08-06,74792.73999940022,3653907.0,3728699.7399994005,-0.024753482997179832,0.9799413347239881,2,0
2025-08-07,74792.73999940022,3619095.0,3693887.7399994005,-0.03385860921201078,0.9797522975077168,2,0
2025-08-08,74792.73999940022,3578703.0,3653495.7399994005,-0.044423192059001915,0.9795284447219822,2,0
2025-08-11,74792.73999940022,3719478.0,3794270.7399994005,-0.007603298261092073,0.980287980187884,2,0
2025-08-12,74792.73999940022,3892227.0,3967019.7399994005,0.0,0.9811463655586923,2,0
2025-08-13,74792.73999940022,4319973.0,4394765.7399994,0.0,0.9829814046016908,2,0
2025-08-14,74792.73999940022,4230465.0,4305257.7399994,-0.020366955896041095,0.9826275813165576,2,0
2025-08-15,74792.73999940022,4323066.0,4397858.7399994,0.0,0.9829933737254575,2,0
2025-08-18,74792.73999940022,4481325.0,4556117.7399994,0.0,0.9835841072888054,2,0
2025-08-19,74792.73999940022,4640670.0,4715462.7399994,0.0,0.9841388334245623,2,0
