date,nav,cash,position_value,close,drawdown,peak,dd,daily_ret,month
2025-10-17,3116781.996691836,1446655.98656,1670126.010131836,100.61000061035156,0.12015110393416081,3542405.98656,0.12015110393416081,-0.03186586351053333,2025-10
2025-10-20,3062167.981494082,1446655.98656,1615511.994934082,97.31999969482422,0.13556831342538267,3542405.98656,0.13556831342538267,-0.01752256502242422,2025-10
2025-10-21,3083581.996691836,1446655.98656,1636926.010131836,98.61000061035156,0.12952326515056622,3542405.98656,0.12952326515056622,0.006993089643405392,2025-10
2025-10-22,3091715.9612304103,1446655.98656,1645059.9746704102,99.0999984741211,0.1272270956630951,3542405.98656,0.1272270956630951,0.002637829818471049,2025-10
2025-10-23,3055362.0473510157,1446655.98656,1608706.0607910156,96.91000366210938,0.13748958788372773,3542405.98656,0.13748958788372773,-0.011758490862442184,2025-10
2025-10-24,3141515.9612304103,1446655.98656,1694859.9746704102,102.0999984741211,0.11316885383848696,3542405.98656,0.11316885383848696,0.028197612114115866,2025-10
2025-10-27,3244934.016955508,1446655.98656,1798278.0303955078,108.33000183105469,0.08397455591852267,3542405.98656,0.08397455591852267,0.032919793183095125,2025-10
2025-10-28,3135705.98656,1446655.98656,1689050.0,101.75,0.11480897490096635,3542405.98656,0.11480897490096635,-0.0336610944397534,2025-10
2025-10-29,3128401.9460326564,1446655.98656,1681745.9594726562,101.30999755859375,0.11687086180920203,3542405.98656,0.11687086180920203,-0.002329312938983974,2025-10
2025-10-30,3051543.991625918,1446655.98656,1604888.005065918,96.68000030517578,0.13856740215447577,3542405.98656,0.13856740215447577,-0.024567800344264312,2025-10
2025-10-31,2998755.98656,1446655.98656,1552100.0,93.5,0.1534691399186387,3542405.98656,0.1534691399186387,-0.017298785536364325,2025-10
2025-11-03,2989958.006823672,1446655.98656,1543302.0202636719,92.97000122070312,0.1559527569206729,3542405.98656,0.1559527569206729,-0.002933876506044264,2025-11
2025-11-04,2945303.966296328,1446655.98656,1498647.9797363281,90.27999877929688,0.16855832519736466,3542405.98656,0.16855832519736466,-0.01493467146543015,2025-11
2025-11-05,2932189.9510985743,1446655.98656,1485533.9645385742,89.48999786376953,0.17226033316807973,3542405.98656,0.17226033316807973,-0.004452516734374523,2025-11
2025-11-06,2990455.98656,1446655.98656,1543800.0,93.0,0.15581218022274004,3542405.98656,0.15581218022274004,0.019871166750160763,2025-11
2025-11-07,3005063.9409667384,1446655.98656,1558407.9544067383,93.87999725341797,0.15168844215822647,3542405.98656,0.15168844215822647,0.004884858520704194,2025-11
2025-11-10,2953105.98656,1446655.98656,1506450.0,90.75,0.16635586159119614,3542405.98656,0.16635586159119614,-0.017290132731759167,2025-11
2025-11-11,2941486.03721918,1446655.98656,1494830.0506591797,90.05000305175781,0.16963610371615492,3542405.98656,0.16963610371615492,-0.003934822994401288,2025-11
2025-11-12,2942979.976428164,1446655.98656,1496323.989868164,90.13999938964844,0.16921437362235642,3542405.98656,0.16921437362235642,0.0005078858747182835,2025-11
2025-11-13,2996763.9409667384,1446655.98656,1550107.9544067383,93.37999725341797,0.1540314824623278,3542405.98656,0.1540314824623278,0.018275341650081822,2025-11
2025-11-14,2998755.98656,1446655.98656,1552100.0,93.5,0.1534691399186387,3542405.98656,0.1534691399186387,0.0006647322353388052,2025-11
2025-11-17,3048058.006823672,1446655.98656,1601402.0202636719,96.47000122070312,0.13955147479196342,3542405.98656,0.13955147479196342,0.016440824290017808,2025-11
2025-11-18,3252237.9308349025,1446655.98656,1805581.9442749023,108.7699966430664,0.08191270476224476,3542405.98656,0.08191270476224476,0.06698688921081364,2025-11
2025-11-19,3219203.966296328,1446655.98656,1772547.9797363281,106.77999877929688,0.09123799516201997,3542405.98656,0.09123799516201997,-0.010157302522479927,2025-11
2025-11-20,3227836.03721918,1446655.98656,1781180.0506591797,107.30000305175781,0.08880121322465821,3542405.98656,0.08880121322465821,0.0026814302582953697,2025-11
2025-11-21,3101012.0473510157,1446655.98656,1654356.0607910156,99.66000366210938,0.12460286621117028,3542405.98656,0.12460286621117028,-0.039290716258755354,2025-11
2025-11-24,3041251.9460326564,1446655.98656,1594595.9594726562,96.05999755859375,0.14147278500226626,3542405.98656,0.14147278500226626,-0.01927116064234846,2025-11
2025-11-25,3090055.98656,1446655.98656,1643400.0,99.0,0.1276956965735238,3542405.98656,0.1276956965735238,0.016047352009427973,2025-11
2025-11-26,3418736.03721918,1446655.98656,1972080.0506591797,118.80000305175781,0.03491128623032707,3542405.98656,0.03491128623032707,0.10636702120892072,2025-11
2025-11-27,3671388.0574828517,1446655.98656,2224732.0709228516,134.02000427246094,0.0,3671388.0574828517,0.0,0.07390217247342101,2025-11
2025-11-28,3604655.98656,1446655.98656,2158000.0,130.0,0.01817625101951328,3671388.0574828517,0.01817625101951328,-0.018176251019513257,2025-11
2025-12-01,3441975.9359008204,1446655.98656,1995319.9493408203,120.19999694824219,0.06248648140434356,3671388.0574828517,0.06248648140434356,-0.0451305343050028,2025-12
2025-12-02,3392674.0422850978,1446655.98656,1946018.0557250977,117.2300033569336,0.07591516092386148,3671388.0574828517,0.07591516092386148,-0.01432371827515977,2025-12
2025-12-03,3388855.98656,1446655.98656,1942200.0,117.0,0.07695510975665128,3671388.0574828517,0.07695510975665128,-0.0011253824203300011,2025-12
2025-12-04,3465713.9409667384,1446655.98656,2019057.9544067383,121.62999725341797,0.05602080556342114,3671388.0574828517,0.05602080556342114,0.022679616576081196,2025-12
2025-12-05,3325941.971362246,1446655.98656,1879285.984802246,113.20999908447266,0.09409141194337477,3671388.0574828517,0.09409141194337477,-0.04032992104521582,2025-12
2025-12-08,3508210.027087344,1446655.98656,2061554.0405273438,124.19000244140625,0.04444586838564395,3671388.0574828517,0.04444586838564395,0.05480193499901742,2025-12
2025-12-09,3531117.981494082,1446655.98656,2084461.994934082,125.56999969482422,0.038206278876698314,3671388.0574828517,0.038206278876698314,0.006529812705015736,2025-12
2025-12-10,3484970.001757754,1446655.98656,2038314.015197754,122.79000091552734,0.050775906225752704,3671388.0574828517,0.050775906225752704,-0.013068943031125269,2025-12
2025-12-11,3453596.01188959,1446655.98656,2006940.0253295898,120.9000015258789,0.05932144523632367,3671388.0574828517,0.05932144523632367,-0.009002657082367915,2025-12
2025-12-12,3398815.9612304103,1446655.98656,1952159.9746704102,117.5999984741211,0.07424224625258495,3671388.0574828517,0.07424224625258495,-0.015861742505663634,2025-12
2025-12-15,3281453.966296328,1446655.98656,1834797.9797363281,110.52999877929688,0.1062089011244066,3671388.0574828517,0.1062089011244066,-0.03453025885273164,2025-12
2025-12-16,3305855.98656,1446655.98656,1859200.0,112.0,0.09956236311708896,3671388.0574828517,0.09956236311708896,0.0074363439238531726,2025-12
2025-12-17,3307349.9257689845,1446655.98656,1860693.9392089844,112.08999633789062,0.09915544911464798,3671388.0574828517,0.09915544911464798,0.0004519069236705864,2025-12
2025-12-18,3437660.027087344,1446655.98656,1991004.0405273438,119.94000244140625,0.06366203374201598,3671388.0574828517,0.06366203374201598,0.03940015548492681,2025-12
2025-12-19,3371758.006823672,1446655.98656,1925102.0202636719,115.97000122070312,0.08161219842955247,3671388.0574828517,0.08161219842955247,-0.01917060434842044,2025-12
2025-12-22,3397986.03721918,1446655.98656,1951330.0506591797,117.55000305175781,0.07446829808863072,3671388.0574828517,0.07446829808863072,0.007778740450064436,2025-12
2025-12-23,3415249.9257689845,1446655.98656,1968593.9392089844,118.58999633789062,0.06976601974607899,3671388.0574828517,0.06976601974607899,0.005080623746156698,2025-12
