date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2025-10-20,3204259.683221182,1256841.71676,1947417.9664611819,112.56751251220703,0.19651795663832058,0.0457869873469332,3987966.7625363674,0.19651795663832058,0.045786987346933206,2025-10
2025-10-21,3312497.533410391,1256841.71676,2055655.8166503909,118.82403564453125,0.16937684523137164,0.033779362751398326,3987966.7625363674,0.16937684523137164,0.033779362751398256,2025-10
2025-10-22,3457965.254968008,1256841.71676,2201123.538208008,127.23257446289062,0.13290018175359006,0.04391481656677658,3987966.7625363674,0.13290018175359006,0.04391481656677665,2025-10
2025-10-23,3318045.011132559,1256841.71676,2061203.2943725588,119.14469909667969,0.16798579107959638,-0.04046317227578497,3987966.7625363674,0.16798579107959638,-0.040463172275785,2025-10
2025-10-24,3451185.0044186916,1256841.71676,2194343.2876586914,126.84065246582031,0.1346003590502043,0.0401260359155549,3987966.7625363674,0.1346003590502043,0.04012603591555486,2025-10
2025-10-27,3599857.9353268947,1256841.71676,2343016.2185668945,135.43446350097656,0.09731997539584142,0.04307880647309581,3987966.7625363674,0.09731997539584142,0.04307880647309581,2025-10
2025-10-28,3588146.329491934,1256841.71676,2331304.6127319336,134.7574920654297,0.10025671146520432,-0.003253352228161591,3987966.7625363674,0.10025671146520432,-0.003253352228161588,2025-10
2025-10-29,3654593.312829336,1256841.71676,2397751.596069336,138.59835815429688,0.08359484157159926,0.018518470885999498,3987966.7625363674,0.08359484157159926,0.01851847088599956,2025-10
2025-10-30,3377464.9253781643,1256841.71676,2120623.208618164,122.57937622070312,0.15308598930496622,-0.0758301577574504,3987966.7625363674,0.15308598930496622,-0.07583015775745039,2025-10
2025-10-31,3204752.792352041,1256841.71676,1947911.0755920412,112.59601593017578,0.196394307380385,-0.051136617801230015,3987966.7625363674,0.196394307380385,-0.05113661780123002,2025-10
2025-11-03,3168385.861962637,1256841.71676,1911544.145202637,110.49388122558594,0.2055134732498304,-0.01134781143687335,3987966.7625363674,0.2055134732498304,-0.011347811436873356,2025-11
2025-11-04,3154578.8062985744,1256841.71676,1897737.0895385745,109.69578552246094,0.2089756524720266,-0.004357756998546195,3987966.7625363674,0.2089756524720266,-0.004357756998546236,2025-11
