date,nav,cash,position_value,close,peak,drawdown,daily_return,month
2025-05-06,1706559.0687600002,1706559.0687600002,0.0,86.11314392089844,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-07,1706559.0687600002,1706559.0687600002,0.0,86.11314392089844,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-08,1706559.0687600002,1706559.0687600002,0.0,95.89217376708984,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-09,1706559.0687600002,1706559.0687600002,0.0,94.212646484375,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-12,1706559.0687600002,1706559.0687600002,0.0,96.66734313964844,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-13,1706559.0687600002,1706559.0687600002,0.0,95.83255004882812,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-14,1706559.0687600002,1706559.0687600002,0.0,97.78040313720703,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-15,1706559.0687600002,1706559.0687600002,0.0,93.53685760498047,2058205.544369629,-0.1708510000721664,0.0,2025-05
2025-05-16,1706462.52732,1404770.52732,301692.0,97.223876953125,2058205.544369629,-0.17089790570812882,-5.657081654386609e-05,2025-05
2025-05-19,1697612.4650400002,1697612.4650400002,0.0,94.6896743774414,2058205.544369629,-0.17519779806057628,-0.005186203704044434,2025-05
2025-05-20,1697514.7140000002,1392042.7140000002,305472.0,95.3654556274414,2058205.544369629,-0.1752452913929441,-5.758148105827754e-05,2025-05
2025-05-21,1696480.7755234377,1392042.7140000002,304438.0615234375,95.13689422607422,2058205.544369629,-0.1757476408688703,-0.0006090895519403894,2025-05
2025-05-22,1692441.9083359377,1392042.7140000002,300399.1943359375,93.87474822998047,2058205.544369629,-0.17770996537943662,-0.002380732658909035,2025-05
2025-05-23,1683529.4429600001,1683529.4429600001,0.0,91.30081176757812,2058205.544369629,-0.18204017690778382,-0.005266039166272218,2025-05
2025-05-26,1683529.4429600001,1683529.4429600001,0.0,91.78776550292969,2058205.544369629,-0.18204017690778382,0.0,2025-05
2025-05-27,1683529.4429600001,1683529.4429600001,0.0,89.60140228271484,2058205.544369629,-0.18204017690778382,0.0,2025-05
2025-05-28,1683529.4429600001,1683529.4429600001,0.0,92.0461654663086,2058205.544369629,-0.18204017690778382,0.0,2025-05
2025-05-29,1683529.4429600001,1683529.4429600001,0.0,94.3517837524414,2058205.544369629,-0.18204017690778382,0.0,2025-05
2025-05-30,1683529.4429600001,1683529.4429600001,0.0,92.97039031982422,2058205.544369629,-0.18204017690778382,0.0,2025-05
2025-06-03,1683529.4429600001,1683529.4429600001,0.0,91.19148254394531,2058205.544369629,-0.18204017690778382,0.0,2025-06
2025-06-04,1683368.3844,1180060.3844,503308.0,96.6971664428711,2058205.544369629,-0.18211842883963808,-9.566720717213428e-05,2025-06
2025-06-05,1711721.8223882813,1180060.3844,531661.4379882812,102.24258422851562,2058205.544369629,-0.16834262395666894,0.01684327580999878,2025-06
2025-06-06,1714667.4522710938,1180060.3844,534607.0678710938,102.80905151367188,2058205.544369629,-0.16691145985798575,0.0017208578194689572,2025-06
2025-06-09,1741023.1987310548,1180060.3844,560962.8143310547,107.8774642944336,2058205.544369629,-0.15410625362770472,0.015370762665992466,2025-06
2025-06-10,1736992.238648047,1180060.3844,556931.8542480469,107.10227966308594,2058205.544369629,-0.15606473639150584,-0.002315282235150984,2025-06
2025-06-11,1738077.5291753907,1180060.3844,558017.1447753906,107.31098937988281,2058205.544369629,-0.15553743700184447,0.0006248102341483985,2025-06
2025-06-12,1779523.1224371095,1180060.3844,599462.7380371094,115.28129577636719,2058205.544369629,-0.13540067594068797,0.023845652777860993,2025-06
2025-06-13,1782882.2227789063,1180060.3844,602821.8383789062,115.92727661132812,2058205.544369629,-0.13376862303373419,0.0018876407389394334,2025-06
2025-06-16,1803139.9345708985,1180060.3844,623079.5501708984,119.82299041748047,2058205.544369629,-0.12392620868041139,0.011362338764260738,2025-06
2025-06-17,1796886.9377447267,1180060.3844,616826.5533447266,118.62049102783203,2058205.544369629,-0.12696429049069385,-0.0034678378013184297,2025-06
2025-06-18,1826343.2365728517,1180060.3844,646282.8521728516,124.28516387939453,2058205.544369629,-0.11265264950386197,0.01639296174365623,2025-06
2025-06-19,1845748.3787847657,1180060.3844,665687.9943847656,128.0169219970703,2058205.544369629,-0.1032244647120183,0.01062513432487533,2025-06
2025-06-20,1851974.5567632813,1180060.3844,671914.1723632812,129.21426391601562,2058205.544369629,-0.10019941311037055,0.0033732539332447242,2025-06
2025-06-23,1839470.2293707032,1180060.3844,659409.8449707031,126.80958557128906,2058205.544369629,-0.10627476716175993,-0.006751889407396683,2025-06
2025-06-24,1829923.3543707032,1180060.3844,649862.9699707031,124.97364807128906,2058205.544369629,-0.11091321302841119,-0.005190013324252618,2025-06
2025-06-25,1832413.8573003907,1180060.3844,652353.4729003906,125.45259094238281,2058205.544369629,-0.10970317696738684,0.0013609875647191405,2025-06
2025-06-26,1853012.3192144532,1180060.3844,672951.9348144531,129.41383361816406,2058205.544369629,-0.09969520571766832,0.011241162487392042,2025-06
2025-06-27,1898152.4071050782,1180060.3844,718092.0227050781,138.09461975097656,2058205.544369629,-0.07776343703979793,0.024360381969700695,2025-06
2025-06-30,1936858.9073492188,1180060.3844,756798.5229492188,145.53817749023438,2058205.544369629,-0.05895749205047212,0.02039167144811782,2025-06
2025-07-01,1933953.2677007813,1180060.3844,753892.8833007812,144.97940063476562,2058205.544369629,-0.06036922648894261,-0.0015001813696455812,2025-07
2025-07-02,1900902.3704839845,1180060.3844,720841.9860839844,138.6234588623047,2058205.544369629,-0.07642733949286974,-0.017089811718196346,2025-07
2025-07-03,1918180.1353765626,1180060.3844,738119.7509765625,141.94610595703125,2058205.544369629,-0.06803276250815474,0.009089243698601424,2025-07
2025-07-04,1903600.441773047,1180060.3844,723540.0573730469,139.14231872558594,2058205.544369629,-0.07511645424312233,-0.007600794802649413,2025-07
2025-07-07,1881289.77893125,1180060.3844,701229.39453125,134.851806640625,2058205.544369629,-0.08595631564706681,-0.011720244622877019,2025-07
2025-07-08,1931774.1173101563,1180060.3844,751713.7329101562,144.56033325195312,2058205.544369629,-0.06142798876688235,0.026834961282565573,2025-07
2025-07-09,1933953.2677007813,1180060.3844,753892.8833007812,144.97940063476562,2058205.544369629,-0.06036922648894261,0.0011280565212559157,2025-07
2025-07-10,1940646.4744878907,1180060.3844,760586.0900878906,146.2665557861328,2058205.544369629,-0.057117264212667954,0.0034608937552387253,2025-07
2025-07-11,1933849.562866797,1180060.3844,753789.1784667969,144.95945739746094,2058205.544369629,-0.060419612532391025,-0.003502395573045991,2025-07
2025-07-14,1957405.4771734376,1180060.3844,777345.0927734375,149.48944091796875,2058205.544369629,-0.04897473309793437,0.012180841136226084,2025-07
2025-07-15,2087066.6710210938,1180060.3844,907006.2866210938,174.42428588867188,2087066.6710210938,0.0,0.06624135640761142,2025-07
2025-07-16,2066053.1517339845,1180060.3844,885992.7673339844,170.3832244873047,2087066.6710210938,-0.01006844658049594,-0.010068446580495993,2025-07
2025-07-17,2097651.3084722655,1180060.3844,917590.9240722654,176.4597930908203,2097651.3084722655,0.0,0.015293970879578511,2025-07
2025-07-18,2117212.007935156,1180060.3844,937151.623535156,180.22146606445312,2117212.007935156,0.0,0.009325048154517512,2025-07
2025-07-21,2155243.911011328,1180060.3844,975183.5266113279,187.53529357910156,2155243.911011328,0.0,0.01796320015833608,2025-07
2025-07-22,2137032.2471929686,1180060.3844,956971.8627929685,184.03305053710938,2155243.911011328,-0.008449931687691776,-0.008449931687691814,2025-07
2025-07-23,2146060.2806402342,1180060.3844,965999.8962402341,185.7692108154297,2155243.911011328,-0.004261063132656952,0.004224565847859463,2025-07
2025-07-24,2140975.569946875,1180060.3844,960915.1855468748,184.7913818359375,2155243.911011328,-0.006620290627689485,-0.0023693233313289985,2025-07
2025-07-25,2141079.2747808592,1180060.3844,961018.8903808591,184.8113250732422,2155243.911011328,-0.006572173181003039,4.843812112564905e-05,2025-07
2025-07-28,2175582.991821875,1180060.3844,995522.6074218748,191.4466552734375,2175582.991821875,0.0,0.016115104866701868,2025-07
2025-07-29,2269287.72815,1180060.3844,1089227.3437499998,209.466796875,2269287.72815,0.0,0.043071092521115295,2025-07
2025-07-30,2272764.1014410155,1180060.3844,1092703.7170410154,210.1353302001953,2272764.1014410155,0.0,0.001531922659208096,2025-07
2025-07-31,2309135.6956792967,1180060.3844,1129075.3112792966,217.12986755371094,2309135.6956792967,0.0,0.01600324213816129,2025-07
2025-08-01,2272919.7777105467,1180060.3844,1092859.3933105466,210.16526794433594,2309135.6956792967,-0.01568375476439728,-0.015683754764397317,2025-08
2025-08-04,2261453.1334234374,1180060.3844,1081392.7490234373,207.96014404296875,2309135.6956792967,-0.020649528022575657,-0.005044896172560653,2025-08
2025-08-05,2274424.410278906,1180060.3844,1094364.025878906,210.45462036132812,2309135.6956792967,-0.015032154873072252,0.005735815022543722,2025-08
2025-08-06,2272349.0440679686,1180060.3844,1092288.6596679685,210.05551147460938,2309135.6956792967,-0.015930918083402763,-0.000912479747209094,2025-08
2025-08-07,2261660.7017828124,1180060.3844,1081600.3173828123,208.00006103515625,2309135.6956792967,-0.020559637956884244,-0.004703653390335627,2025-08
2025-08-08,2266019.0819097655,1180060.3844,1085958.6975097654,208.8382110595703,2309135.6956792967,-0.018672187108885904,0.001927070724409452,2025-08
2025-08-11,2294296.4622808592,1180060.3844,1114236.0778808591,214.2761688232422,2309135.6956792967,-0.006426315017434315,0.012478880075123655,2025-08
2025-08-12,2351007.0579839842,1180060.3844,1170946.6735839841,225.1820526123047,2351007.0579839842,0.0,0.02471807660233516,2025-08
2025-08-13,2487569.106323828,1180060.3844,1307508.721923828,251.44398498535156,2487569.106323828,0.0,0.058086617764962156,2025-08
2025-08-14,2422556.8077398436,1180060.3844,1242496.4233398435,238.94161987304688,2487569.106323828,-0.0261348713564226,-0.026134871356422562,2025-08
